label	method	mode
g27_2	dp/10	-1371
g27_2	dp/100	-121
g27_2	dp/1000	-887
g27_3	direct_eigen	-2
g27_3	dp/10	-1369
g27_3	dp/100	-119
g27_3	dp/1000	-886
g27_4	direct_eigen	3
g27_4	dp/10	-1364
g27_4	dp/100	-114
g27_4	dp/1000	-882
g27_5	direct_eigen	-4
g27_5	dp/10	-1371
g27_5	dp/100	-121
g27_5	dp/1000	-888
g27_6	direct_eigen	-3
g27_6	dp/10	-1370
g27_6	dp/100	-120
g27_6	dp/1000	-889
g27_7	direct_eigen	-2
g27_7	dp/10	-1370
g27_7	dp/100	-120
g27_7	dp/1000	-888
g27_8	direct_eigen	-4
g27_8	dp/10	-1372
g27_8	dp/100	-122
g27_8	dp/1000	-889
g27_9	direct_eigen	-6
g27_9	dp/10	-1373
g27_9	dp/100	-123
g27_9	dp/1000	-891
